Theta 8.000000| s'x 12.625771 | s'y -6.125771 | t'xy 5.776243 
Theta 8.100000| s'x 12.629039 | s'y -6.129039 | t'xy 5.802200 
Theta 8.200000| s'x 12.632193 | s'y -6.132192 | t'xy 5.828086 
Theta 8.300000| s'x 12.635232 | s'y -6.135232 | t'xy 5.853902 
Theta 8.400001| s'x 12.638157 | s'y -6.138157 | t'xy 5.879647 
Theta 8.500000| s'x 12.640967 | s'y -6.140967 | t'xy 5.905319 
Theta 8.600000| s'x 12.643663 | s'y -6.143664 | t'xy 5.930920 
Theta 8.700000| s'x 12.646246 | s'y -6.146245 | t'xy 5.956448 
Theta 8.800000| s'x 12.648713 | s'y -6.148713 | t'xy 5.981904 
Theta 8.900001| s'x 12.651066 | s'y -6.151066 | t'xy 6.007287 
Theta 9.000000| s'x 12.653304 | s'y -6.153304 | t'xy 6.032597 
Theta 9.100000| s'x 12.655428 | s'y -6.155427 | t'xy 6.057833 
Theta 9.200000| s'x 12.657436 | s'y -6.157437 | t'xy 6.082995 
Theta 9.300000| s'x 12.659331 | s'y -6.159331 | t'xy 6.108083 
Theta 9.400001| s'x 12.661111 | s'y -6.161111 | t'xy 6.133098 
Theta 9.500000| s'x 12.662776 | s'y -6.162776 | t'xy 6.158036 
Theta 9.600000| s'x 12.664327 | s'y -6.164327 | t'xy 6.182900 
Theta 9.700000| s'x 12.665762 | s'y -6.165762 | t'xy 6.207689 
Theta 9.800000| s'x 12.667083 | s'y -6.167083 | t'xy 6.232402 
Theta 9.900001| s'x 12.668289 | s'y -6.168290 | t'xy 6.257040 
Theta 10.000000| s'x 12.669381 | s'y -6.169381 | t'xy 6.281600 
Theta 10.100000| s'x 12.670358 | s'y -6.170358 | t'xy 6.306085 
Theta 10.200000| s'x 12.671220 | s'y -6.171219 | t'xy 6.330492 
Theta 10.300000| s'x 12.671967 | s'y -6.171967 | t'xy 6.354823 
Theta 10.400001| s'x 12.672599 | s'y -6.172599 | t'xy 6.379076 
Theta 10.500000| s'x 12.673117 | s'y -6.173117 | t'xy 6.403251 
Theta 10.600000| s'x 12.673519 | s'y -6.173519 | t'xy 6.427348 
Theta 10.700000| s'x 12.673807 | s'y -6.173807 | t'xy 6.451367 
Theta 10.800000| s'x 12.673980 | s'y -6.173980 | t'xy 6.475307 
Theta 10.900001| s'x 12.674038 | s'y -6.174038 | t'xy 6.499169 
Theta 11.000000| s'x 12.673982 | s'y -6.173982 | t'xy 6.522951 
Theta 11.100000| s'x 12.673810 | s'y -6.173810 | t'xy 6.546654 
Theta 11.200000| s'x 12.673524 | s'y -6.173524 | t'xy 6.570277 
Theta 11.300000| s'x 12.673123 | s'y -6.173123 | t'xy 6.593820 
Theta 11.400001| s'x 12.672607 | s'y -6.172607 | t'xy 6.617282 
Theta 11.500000| s'x 12.671976 | s'y -6.171977 | t'xy 6.640664 
Theta 11.600000| s'x 12.671231 | s'y -6.171231 | t'xy 6.663966 
Theta 11.700000| s'x 12.670371 | s'y -6.170371 | t'xy 6.687185 
Theta 11.800000| s'x 12.669395 | s'y -6.169395 | t'xy 6.710324 
Theta 11.900001| s'x 12.668305 | s'y -6.168305 | t'xy 6.733380 
Theta 12.000000| s'x 12.667101 | s'y -6.167101 | t'xy 6.756355 
Theta 12.100000| s'x 12.665782 | s'y -6.165781 | t'xy 6.779247 
Theta 12.200000| s'x 12.664348 | s'y -6.164348 | t'xy 6.802057 
Theta 12.300000| s'x 12.662799 | s'y -6.162799 | t'xy 6.824783 
Theta 12.400001| s'x 12.661136 | s'y -6.161135 | t'xy 6.847427 
Theta 12.500000| s'x 12.659357 | s'y -6.159357 | t'xy 6.869987 
Theta 12.600000| s'x 12.657464 | s'y -6.157464 | t'xy 6.892464 
Theta 12.700000| s'x 12.655457 | s'y -6.155457 | t'xy 6.914856 
Theta 12.800000| s'x 12.653335 | s'y -6.153335 | t'xy 6.937164 
Theta 12.900001| s'x 12.651098 | s'y -6.151098 | t'xy 6.959388 
Theta 13.000000| s'x 12.648746 | s'y -6.148747 | t'xy 6.981527 
Theta 13.100000| s'x 12.646281 | s'y -6.146281 | t'xy 7.003581 
Theta 13.200000| s'x 12.643701 | s'y -6.143701 | t'xy 7.025549 
Theta 13.300000| s'x 12.641006 | s'y -6.141006 | t'xy 7.047432 
Theta 13.400001| s'x 12.638197 | s'y -6.138197 | t'xy 7.069229 
Theta 13.500000| s'x 12.635274 | s'y -6.135274 | t'xy 7.090940 
Theta 13.600000| s'x 12.632236 | s'y -6.132236 | t'xy 7.112564 
Theta 13.700000| s'x 12.629084 | s'y -6.129084 | t'xy 7.134102 
Theta 13.800000| s'x 12.625817 | s'y -6.125817 | t'xy 7.155553 
Theta 13.900001| s'x 12.622437 | s'y -6.122437 | t'xy 7.176917 
Theta 14.000000| s'x 12.618942 | s'y -6.118942 | t'xy 7.198193 
Theta 14.100000| s'x 12.615333 | s'y -6.115333 | t'xy 7.219381 
Theta 14.200000| s'x 12.611609 | s'y -6.111610 | t'xy 7.240482 
Theta 14.300000| s'x 12.607773 | s'y -6.107772 | t'xy 7.261494 
Theta 14.400001| s'x 12.603822 | s'y -6.103821 | t'xy 7.282418 
Theta 14.500000| s'x 12.599756 | s'y -6.099756 | t'xy 7.303253 
Theta 14.600000| s'x 12.595577 | s'y -6.095577 | t'xy 7.323999 
Theta 14.700000| s'x 12.591284 | s'y -6.091284 | t'xy 7.344656 
Theta 14.800000| s'x 12.586877 | s'y -6.086877 | t'xy 7.365224 
Theta 14.900001| s'x 12.582356 | s'y -6.082356 | t'xy 7.385702 
Theta 15.000000| s'x 12.577723 | s'y -6.077722 | t'xy 7.406089 
Theta 15.100000| s'x 12.572974 | s'y -6.072974 | t'xy 7.426386 
Theta 15.200000| s'x 12.568112 | s'y -6.068113 | t'xy 7.446593 
Theta 15.300000| s'x 12.563138 | s'y -6.063138 | t'xy 7.466709 
Theta 15.400001| s'x 12.558049 | s'y -6.058049 | t'xy 7.486735 
Theta 15.500000| s'x 12.552847 | s'y -6.052847 | t'xy 7.506669 
Theta 15.600000| s'x 12.547532 | s'y -6.047532 | t'xy 7.526511 
Theta 15.700000| s'x 12.542103 | s'y -6.042103 | t'xy 7.546262 
Theta 15.800000| s'x 12.536561 | s'y -6.036561 | t'xy 7.565921 
Theta 15.900001| s'x 12.530907 | s'y -6.030906 | t'xy 7.585488 
Theta 16.000000| s'x 12.525138 | s'y -6.025138 | t'xy 7.604962 
Theta 16.100000| s'x 12.519258 | s'y -6.019257 | t'xy 7.624343 
Theta 16.200001| s'x 12.513263 | s'y -6.013263 | t'xy 7.643632 
Theta 16.300001| s'x 12.507156 | s'y -6.007156 | t'xy 7.662828 
Theta 16.400000| s'x 12.500937 | s'y -6.000937 | t'xy 7.681930 
Theta 16.500000| s'x 12.494604 | s'y -5.994604 | t'xy 7.700939 
Theta 16.600000| s'x 12.488159 | s'y -5.988159 | t'xy 7.719853 
Theta 16.700001| s'x 12.481602 | s'y -5.981601 | t'xy 7.738674 
Theta 16.800001| s'x 12.474931 | s'y -5.974931 | t'xy 7.757401 
Theta 16.900000| s'x 12.468149 | s'y -5.968149 | t'xy 7.776032 
Theta 17.000000| s'x 12.461254 | s'y -5.961254 | t'xy 7.794569 
Theta 17.100000| s'x 12.454247 | s'y -5.954247 | t'xy 7.813012 
Theta 17.200001| s'x 12.447127 | s'y -5.947127 | t'xy 7.831359 
Theta 17.300001| s'x 12.439897 | s'y -5.939896 | t'xy 7.849610 
Theta 17.400000| s'x 12.432553 | s'y -5.932553 | t'xy 7.867766 
Theta 17.500000| s'x 12.425097 | s'y -5.925098 | t'xy 7.885826 
Theta 17.600000| s'x 12.417531 | s'y -5.917531 | t'xy 7.903790 
Theta 17.700001| s'x 12.409852 | s'y -5.909852 | t'xy 7.921658 
Theta 17.800001| s'x 12.402062 | s'y -5.902062 | t'xy 7.939429 
Theta 17.900000| s'x 12.394160 | s'y -5.894160 | t'xy 7.957103 
Theta 18.000000| s'x 12.386147 | s'y -5.886147 | t'xy 7.974680 
Theta 18.100000| s'x 12.378022 | s'y -5.878023 | t'xy 7.992161 
Theta 18.200001| s'x 12.369787 | s'y -5.869787 | t'xy 8.009543 
Theta 18.300001| s'x 12.361440 | s'y -5.861440 | t'xy 8.026829 
Theta 18.400000| s'x 12.352983 | s'y -5.852982 | t'xy 8.044016 
Theta 18.500000| s'x 12.344414 | s'y -5.844413 | t'xy 8.061106 
Theta 18.600000| s'x 12.335733 | s'y -5.835734 | t'xy 8.078097 
Theta 18.700001| s'x 12.326943 | s'y -5.826943 | t'xy 8.094990 
Theta 18.800001| s'x 12.318043 | s'y -5.818042 | t'xy 8.111784 
Theta 18.900000| s'x 12.309031 | s'y -5.809031 | t'xy 8.128479 
Theta 19.000000| s'x 12.299910 | s'y -5.799909 | t'xy 8.145076 
Theta 19.100000| s'x 12.290677 | s'y -5.790677 | t'xy 8.161572 
Theta 19.200001| s'x 12.281335 | s'y -5.781335 | t'xy 8.177971 
Theta 19.300001| s'x 12.271883 | s'y -5.771883 | t'xy 8.194268 
Theta 19.400000| s'x 12.262321 | s'y -5.762321 | t'xy 8.210466 
Theta 19.500000| s'x 12.252648 | s'y -5.752648 | t'xy 8.226564 
Theta 19.600000| s'x 12.242867 | s'y -5.742867 | t'xy 8.242562 
Theta 19.700001| s'x 12.232976 | s'y -5.732975 | t'xy 8.258459 
Theta 19.800001| s'x 12.222975 | s'y -5.722975 | t'xy 8.274257 
Theta 19.900000| s'x 12.212865 | s'y -5.712865 | t'xy 8.289952 
Theta 20.000000| s'x 12.202645 | s'y -5.702646 | t'xy 8.305547 
Theta 20.100000| s'x 12.192317 | s'y -5.692317 | t'xy 8.321041 
Theta 20.200001| s'x 12.181880 | s'y -5.681880 | t'xy 8.336433 
Theta 20.300001| s'x 12.171333 | s'y -5.671333 | t'xy 8.351725 
Theta 20.400000| s'x 12.160679 | s'y -5.660679 | t'xy 8.366913 
Theta 20.500000| s'x 12.149916 | s'y -5.649915 | t'xy 8.382000 
Theta 20.600000| s'x 12.139044 | s'y -5.639043 | t'xy 8.396985 
Theta 20.700001| s'x 12.128063 | s'y -5.628063 | t'xy 8.411868 
Theta 20.800001| s'x 12.116975 | s'y -5.616975 | t'xy 8.426648 
Theta 20.900000| s'x 12.105779 | s'y -5.605779 | t'xy 8.441325 
Theta 21.000000| s'x 12.094474 | s'y -5.594474 | t'xy 8.455900 
Theta 21.100000| s'x 12.083062 | s'y -5.583062 | t'xy 8.470371 
Theta 21.200001| s'x 12.071543 | s'y -5.571543 | t'xy 8.484739 
Theta 21.300001| s'x 12.059916 | s'y -5.559915 | t'xy 8.499004 
Theta 21.400000| s'x 12.048181 | s'y -5.548181 | t'xy 8.513166 
Theta 21.500000| s'x 12.036339 | s'y -5.536339 | t'xy 8.527224 
Theta 21.600000| s'x 12.024390 | s'y -5.524390 | t'xy 8.541178 
Theta 21.700001| s'x 12.012335 | s'y -5.512334 | t'xy 8.555027 
Theta 21.800001| s'x 12.000172 | s'y -5.500172 | t'xy 8.568772 
Theta 21.900000| s'x 11.987904 | s'y -5.487903 | t'xy 8.582414 
Theta 22.000000| s'x 11.975528 | s'y -5.475528 | t'xy 8.595950 
Theta 22.100000| s'x 11.963045 | s'y -5.463046 | t'xy 8.609382 
Theta 22.200001| s'x 11.950458 | s'y -5.450458 | t'xy 8.622708 
Theta 22.300001| s'x 11.937763 | s'y -5.437764 | t'xy 8.635930 
Theta 22.400000| s'x 11.924964 | s'y -5.424963 | t'xy 8.649047 
Theta 22.500000| s'x 11.912058 | s'y -5.412058 | t'xy 8.662058 
Theta 22.600000| s'x 11.899047 | s'y -5.399047 | t'xy 8.674964 
Theta 22.700001| s'x 11.885930 | s'y -5.385931 | t'xy 8.687763 
Theta 22.800001| s'x 11.872708 | s'y -5.372708 | t'xy 8.700458 
Theta 22.900000| s'x 11.859382 | s'y -5.359382 | t'xy 8.713046 
Theta 23.000000| s'x 11.845950 | s'y -5.345950 | t'xy 8.725528 
Theta 23.100000| s'x 11.832414 | s'y -5.332414 | t'xy 8.737904 
Theta 23.200001| s'x 11.818772 | s'y -5.318772 | t'xy 8.750173 
Theta 23.300001| s'x 11.805027 | s'y -5.305027 | t'xy 8.762335 
Theta 23.400000| s'x 11.791178 | s'y -5.291177 | t'xy 8.774390 
Theta 23.500000| s'x 11.777224 | s'y -5.277224 | t'xy 8.786339 
Theta 23.600000| s'x 11.763165 | s'y -5.263166 | t'xy 8.798181 
Theta 23.700001| s'x 11.749004 | s'y -5.249004 | t'xy 8.809916 
Theta 23.800001| s'x 11.734739 | s'y -5.234739 | t'xy 8.821543 
Theta 23.900000| s'x 11.720371 | s'y -5.220371 | t'xy 8.833062 
Theta 24.000000| s'x 11.705899 | s'y -5.205900 | t'xy 8.844475 
Theta 24.100000| s'x 11.691325 | s'y -5.191325 | t'xy 8.855779 
Theta 24.200001| s'x 11.676647 | s'y -5.176648 | t'xy 8.866975 
Theta 24.300001| s'x 11.661867 | s'y -5.161867 | t'xy 8.878063 
Theta 24.400000| s'x 11.646985 | s'y -5.146985 | t'xy 8.889044 
Theta 24.500000| s'x 11.632000 | s'y -5.132000 | t'xy 8.899916 
Theta 24.600000| s'x 11.616913 | s'y -5.116913 | t'xy 8.910679 
Theta 24.700001| s'x 11.601724 | s'y -5.101724 | t'xy 8.921334 
Theta 24.800001| s'x 11.586432 | s'y -5.086433 | t'xy 8.931880 
